資料來源	檔案名稱	頁碼	行號	中文片名	上映日期	國別地區	發行商	製片商	統計起始日	統計結束日	統計週期	本期上映院數	本期銷售票數	本期銷售金額	累計上映天數	上映週數	最大上映院數	累計銷售票數	累計銷售金額	統計中
全國電影票房2018年05/14-05/20統計資訊	131.pdf	11	104	玩具總動員3	2010-06-16	美國	台灣華特迪士尼股份有限公司	BUENA VISTAINTERNATIONAL,INC.	2018-05-14	2018-05-20	weekly	1	70	17500	NULL	413.0	7	652	161790	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	11	105	玩具總動員	2010-06-16	美國	台灣華特迪士尼股份有限公司	BUENA VISTAINTERNATIONAL,INC.	2018-05-14	2018-05-20	weekly	1	39	9750	NULL	413.0	7	361	87780	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	11	106	玩具總動員2	2010-04-23	美國	台灣華特迪士尼股份有限公司	BUENA VISTAINTERNATIONAL,INC.	2018-05-14	2018-05-20	weekly	1	51	12310	NULL	421.0	7	383	94160	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	11	99	斷了氣	2017-10-23	法國	傳影互動股份有限公司	STUDIOCANALS.A.S.	2018-05-14	2018-05-20	weekly	1	28	5490	NULL	30.0	1	232	47830	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	2	22	刺殺終點戰	2018-05-04	美國	采昌國際多媒體股份有限公司	(匈牙利)ATRIUMPRODUCTIONS KFT.	2018-05-14	2018-05-20	weekly	41	737	167565	NULL	3.0	50	15599	3648027	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	2	23	低壓槽	2018-05-04	香港	華映娛樂股份有限公司	(香港)天下一電影製作有限公司##(大陸)上海博納文化傳媒有限公司##(大陸)耳東影業（北京）有限公司##(大陸)北京壹尺文化傳媒有限公司##(大陸)喀什嘉映文化傳媒有限公司##(香港)燃燒映畫##(大陸)廣州鋮澤投資管理有限公司##(香港)聯聯看娛樂文化有限公司##(香港)品今天下影視有限公司##(香港)星火製作有限公司	2018-05-14	2018-05-20	weekly	42	528	115180	NULL	3.0	59	14711	3256612	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	2	24	愛上謊言的女人	2018-05-04	日本	車庫娛樂股份有限公司	TOHO CO., LTD.	2018-05-14	2018-05-20	weekly	9	270	60690	NULL	3.0	10	2968	677913	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	2	25	翻轉教室	2018-05-04	法國	安可電影股份有限公司	BAC FILMSDISTRIBUTION S.A.S	2018-05-14	2018-05-20	weekly	6	243	50740	NULL	3.0	6	1240	260062	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	2	26	殘酷的溫柔	2018-05-04	俄羅斯	海鵬影業有限公司	(法國)WILD BUNCH	2018-05-14	2018-05-20	weekly	5	171	33620	NULL	3.0	6	1345	266300	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	2	27	假掰英雄	2018-05-04	法國	英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司	STUDIOCANAL SAS	2018-05-14	2018-05-20	weekly	6	157	32745	NULL	3.0	8	1464	306820	True
