資料來源	檔案名稱	頁碼	行號	中文片名	上映日期	國別地區	上映週數	上映院數	累計銷售票數	累計銷售金額	統計中
全國電影票房2017年12/25-12/31統計資訊	52.pdf	9	80	極地追擊	2017-09-29	美國	14.0	59	61155	13203257	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	7	74	西遊記女兒國	2018-02-15	香港	14.0	42	58928	13004921	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	9	79	意外	2018-02-09	美國	15.0	29	59010	12994997	True
全國電影票房2018年04/09-04/15統計資訊	82.pdf	7	78	幸福路上	2017-10-30	中華民國	24.0	70	61383	12905209	False
全國電影票房2018年03/05-03/11統計資訊	77.pdf	7	72	家有兩個爸X2	2017-12-01	美國	15.0	80	57494	12556065	False
全國電影票房2018年02/26-03/04統計資訊	76.pdf	3	36	FATE/STAYNIGHT[HEAVEN'SFEEL]I.預示之花	2018-01-22	日本	6.0	14	47894	12314812	False
全國電影票房2018年02/19-02/25統計資訊	72.pdf	8	77	絕處逢山	2017-11-10	美國	16.0	79	58038	12293517	False
全國電影票房截至2017年七月前資訊	36.pdf	2	28	春嬌救志明	2017-04-28	香港	15.0	57	53200	11969350	False
全國電影票房2018年03/05-03/11統計資訊	77.pdf	8	83	別闖陰陽界	2017-11-03	美國	19.0	82	54484	11784259	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	1	17	親愛的初戀	2018-05-04	美國	3.0	61	50686	11749188	True
全國電影票房2017年11/13-11/19統計資訊	46.pdf	7	7	女狼嗨到趴	2017-07-20	美國	18.0	82	53817	11709553	False
全國電影票房截至2017年五月前資訊	34.pdf	2	12	海邊的曼徹斯特	2017-01-26	美國	20.0	20	52852	11636685	False
全國電影票房截至2017年四月前資訊	33.pdf	2	19	怪獸卡車	2017-01-13	美國	17.0	90	52534	11613801	False
全國電影票房2017年12/25-12/31統計資訊	52.pdf	10	89	潛龍突擊隊	2017-08-31	法國	18.0	67	52603	11285336	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	1	20	銀魂	2017-07-15	日本	17.0	44	47637	11109014	False
全國電影票房2018年02/26-03/04統計資訊	76.pdf	7	71	POKE'MONTHEMOVIE劇場版精靈寶可夢就決定是你了！	2017-11-17	日本	16.0	22	48985	11076012	False
全國電影票房截至2017年三月前資訊	32.pdf	4	40	別敲兩次門	2017-01-13	英國	13.0	34	47891	10970178	False
全國電影票房2018年03/05-03/11統計資訊	77.pdf	9	90	舞力重擊	2016-07-14	美國	87.0	1	49019	10931954	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	4	41	表情符號電影	2017-08-11	美國	13.0	66	49160	10827463	False
全國電影票房截至2017年九月前資訊	38.pdf	2	26	雖然媽媽說我不可以嫁去日本。	2017-06-16	中華民國	17.0	32	45217	10627068	False
全國電影票房截至2017年七月前資訊	36.pdf	0	7	漫漫回家路	2017-03-03	英國	23.0	41	48905	10483303	False
全國電影票房截至2017年六月前資訊	35.pdf	2	24	攻敵必救	2017-03-03	法國	19.0	44	47344	10307445	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	9	82	電影版巧虎的彩虹綠洲	2018-02-02	日本	16.0	13	42973	10196865	True
全國電影票房截至2017年五月前資訊	34.pdf	3	24	偷天劫車手	2017-02-24	美國	16.0	83	46695	10156273	False
全國電影票房截至2017年六月前資訊	35.pdf	3	32	限時救援	2017-03-17	美國	17.0	58	44915	10085748	False
全國電影票房2018年03/19-03/25統計資訊	79.pdf	7	79	美力台灣3D	2017-12-22	中華民國	14.0	45	35862	10080649	False
全國電影票房截至2017年二月前資訊	31.pdf	0	2	怪物來敲門	2016-11-04	美國	18.0	66	46609	10060261	False
全國電影票房截至2017年八月前資訊	37.pdf	2	21	神秘家族	2017-05-19	中華民國	17.0	62	44200	9949237	False
全國電影票房截至2017年九月前資訊	38.pdf	2	27	搶救千金	2017-06-16	美國	17.0	84	47596	9935286	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	9	83	金錢世界	2018-02-02	美國	16.0	71	45975	9915233	True
全國電影票房截至2017年三月前資訊	32.pdf	9	81	七夜怪譚	2017-02-17	美國	8.0	65	43338	9870966	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	65	鎌倉物語	2018-03-02	日本	12.0	33	44223	9822730	True
全國電影票房截至2017年九月前資訊	38.pdf	3	38	深海鯊機	2017-06-30	英國	15.0	54	44352	9685657	False
全國電影票房2018年02/19-02/25統計資訊	72.pdf	9	86	瑪麗與魔女之花	2017-09-01	日本	26.0	59	44000	9608623	False
全國電影票房2018年03/12-03/18統計資訊	78.pdf	8	100	遇見街貓BOB	2016-12-16	匈牙利	66.0	41	43895	9459070	False
全國電影票房截至2017年八月前資訊	37.pdf	2	22	直播風暴	2017-05-19	美國	17.0	80	44297	9331313	False
全國電影票房2018年02/12-02/18統計資訊	71.pdf	8	83	陰宅2	2017-11-03	美國	16.0	69	40398	9127400	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	8	82	大災難家	2018-01-19	美國	17.0	65	40128	9098219	False
全國電影票房2017年11/20-11/26統計資訊	47.pdf	8	5	謝謝你，在世界的角落找到我	2017-07-28	日本	18.0	64	41039	9092392	False
全國電影票房截至2017年七月前資訊	36.pdf	2	25	柯羅索巨獸	2017-04-21	美國	16.0	72	42228	9069139	False
全國電影票房2018年04/30-05/06統計資訊	85.pdf	3	44	有一種喜歡	2018-03-30	中華民國	6.0	46	39394	8856106	False
全國電影票房截至2017年九月前資訊	38.pdf	3	39	2點22分	2017-06-30	澳洲	15.0	47	40451	8848107	False
全國電影票房截至2017年五月前資訊	34.pdf	4	33	她其實沒那麼壞	2017-03-10	美國	14.0	36	37817	8816542	False
全國電影票房2018年02/05-02/11統計資訊	70.pdf	10	98	母親！	2017-09-29	美國	20.0	81	37661	8575557	False
全國電影票房截至2017年二月前資訊	31.pdf	0	13	死亡筆記本：決戰新世界	2016-11-25	日本	15.0	69	37754	8417257	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	8	89	最黑暗的時刻	2018-01-05	美國	19.0	42	37519	8347309	False
全國電影票房2018年03/26-04/01統計資訊	80.pdf	5	64	魍美	2018-01-26	泰國	10.0	54	35347	7982500	False
全國電影票房2018年03/05-03/11統計資訊	77.pdf	8	79	追捕	2017-11-24	日本	16.0	73	36982	7950845	False
全國電影票房截至2017年五月前資訊	34.pdf	0	3	電影版妖怪手錶：閻魔大王與五個故事喵！	2016-12-23	日本	25.0	54	35715	7866492	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	6	68	淑女鳥	2018-02-28	美國	12.0	30	33988	7859070	True
全國電影票房截至2017年七月前資訊	36.pdf	1	19	辦公室大狂殺	2017-04-07	美國	18.0	36	33047	7429459	False
全國電影票房2018年03/12-03/18統計資訊	78.pdf	8	96	人生剩利組	2017-10-20	英國	22.0	12	33997	7252404	False
全國電影票房截至2017年三月前資訊	32.pdf	1	15	一萬公里的約定	2016-12-16	中華民國	17.0	65	33103	7173730	False
全國電影票房截至2017年二月前資訊	31.pdf	0	6	鋼鐵麥斯	2016-11-11	美國	17.0	54	35004	7155512	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	1	18	視界戰	2018-05-04	德國	3.0	46	30782	7089145	True
全國電影票房2018年03/19-03/25統計資訊	79.pdf	5	67	以你的名字呼喚我	2018-01-12	美國	11.0	18	30488	7088395	False
全國電影票房截至2017年三月前資訊	32.pdf	1	11	再見瓦城	2016-12-09	中華民國	18.0	54	32742	7056439	False
全國電影票房2017年12/04-12/10統計資訊	49.pdf	7	58	刑弒厲	2017-09-22	美國	12.0	43	30692	6979590	False
全國電影票房2017年12/25-12/31統計資訊	52.pdf	9	83	閨蜜假期	2017-09-15	美國	16.0	52	31429	6935081	False
全國電影票房截至2017年三月前資訊	32.pdf	2	18	聖誕搞轟趴	2016-12-23	美國	16.0	69	30895	6918672	False
全國電影票房2018年04/30-05/06統計資訊	85.pdf	3	45	劇場版無敵鐵金剛/INFINITY	2018-03-30	日本	6.0	25	29220	6892364	False
