資料來源	檔案名稱	頁碼	行號	中文片名	上映日期	國別地區	上映週數	上映院數	累計銷售票數	累計銷售金額	統計中
全國電影票房2018年01/29-02/04統計資訊	69.pdf	5	37	第三次殺人	2018-01-12	日本	4.0	13	5044	1130803	False
全國電影票房截至2017年八月前資訊	37.pdf	5	58	原諒他77次	2017-07-07	香港	10.0	6	4881	1128030	False
全國電影票房2018年03/05-03/11統計資訊	77.pdf	5	48	心理罪之城市之光	2018-01-12	香港	9.0	38	5212	1121421	False
全國電影票房截至2017年二月前資訊	31.pdf	2	43	我是布萊克	2016-12-23	英國	11.0	5	5251	1115495	False
全國電影票房2018年02/26-03/04統計資訊	76.pdf	2	22	假面騎士平成世代巔峰決戰BUILD&EX-AIDWITH傳說騎士	2018-02-08	日本	4.0	8	4599	1088186	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	6	跨越8年的新娘	2018-05-11	日本	2.0	20	4835	1085789	True
"全國電影票房截至2017年十月前資訊	"	39.pdf	3	37	愛貓之城	2017-08-04	土耳其	14.0	9	4776	1073410	False
全國電影票房截至2017年七月前資訊	36.pdf	4	41	媽媽，晚餐吃什麼？	2017-05-12	日本	13.0	15	5172	1043751	False
全國電影票房2017年11/13-11/19統計資訊	46.pdf	5	12	一週的朋友	2017-08-18	日本	14.0	21	4527	1039998	False
全國電影票房截至2017年四月前資訊	33.pdf	10	93	本能寺大飯店	2017-03-24	日本	7.0	12	4658	1033323	False
全國電影票房截至2017年四月前資訊	33.pdf	12	109	黑色追緝令	2017-03-31	美國	6.0	6	4691	1033223	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	10	92	仿聲靈	2017-09-15	南韓	8.0	21	4603	1032033	False
全國電影票房2018年03/05-03/11統計資訊	77.pdf	7	69	BEATSPERMINUTE	2017-12-05	法國	14.0	9	4733	1025768	False
全國電影票房截至2017年四月前資訊	33.pdf	8	73	王力宏火力全開3D演唱會電影	2017-03-12	中華民國	9.0	5	3056	1024710	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	44	野蠻公主玩婚記	2018-04-20	南韓	5.0	9	4615	1024477	True
全國電影票房2017年12/04-12/10統計資訊	49.pdf	5	47	殺人者的記憶法	2017-10-20	南韓	8.0	3	4602	1019230	False
全國電影票房2018年02/05-02/11統計資訊	70.pdf	3	44	高更：愛在他鄉	2018-01-12	法國	5.0	14	4859	1016312	False
全國電影票房2018年02/19-02/25統計資訊	72.pdf	4	41	天上再見	2018-01-12	法國	7.0	7	4933	1011080	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	2	28	末世異種	2018-05-04	美國	3.0	21	4431	1006653	True
全國電影票房2017年12/04-12/10統計資訊	49.pdf	8	67	玻璃城堡	2017-09-01	美國	15.0	16	4644	1003389	False
全國電影票房截至2017年三月前資訊	32.pdf	0	6	新居風暴	2016-12-09	法國	18.0	10	4812	998360	False
全國電影票房截至2017年七月前資訊	36.pdf	6	69	綁的不是人	2017-06-09	匈牙利	9.0	18	4539	989382	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	4	38	帝一之國	2017-08-04	日本	14.0	8	4359	980883	False
全國電影票房截至2017年一月前資訊	27.pdf	0	4	密探	2016-11-04	南韓	14.0	20	4511	976659	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	1	11	席勒：死神與少女	2017-06-16	奧地利	21.0	5	4836	974010	False
全國電影票房截至2017年九月前資訊	38.pdf	3	41	今晚打喪屍	2017-06-30	香港	15.0	38	4473	966506	False
全國電影票房2018年03/19-03/25統計資訊	79.pdf	5	63	當愛不見了	2018-01-26	法國	9.0	9	4571	953367	False
全國電影票房截至2017年六月前資訊	35.pdf	2	18	機密同盟	2017-02-17	南韓	21.0	10	4263	923749	False
全國電影票房2018年04/09-04/15統計資訊	82.pdf	2	34	隔牆有詭	2018-03-16	美國	5.0	22	4087	916671	False
全國電影票房2018年04/16-04/22統計資訊	83.pdf	3	37	抹大拉的馬利亞	2018-03-23	美國	5.0	12	4068	908209	False
全國電影票房截至2017年九月前資訊	38.pdf	5	58	歡迎來住我家	2017-07-21	德國	12.0	8	4559	899915	False
全國電影票房截至2017年六月前資訊	35.pdf	13	85	巴黎交易員	2017-05-12	法國	9.0	6	3967	898755	False
全國電影票房2018年02/05-02/11統計資訊	70.pdf	9	95	看見5%的奇蹟	2017-10-13	德國	18.0	3	4174	890321	False
全國電影票房2018年02/05-02/11統計資訊	70.pdf	3	37	愛情摩天輪	2018-01-19	英國	4.0	17	4037	889111	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	5	44	徐自強的練習題	2017-08-11	中華民國	13.0	9	4152	882585	False
全國電影票房2017年12/25-12/31統計資訊	52.pdf	1	20	盲女驚心	2017-12-15	英國	3.0	40	3896	882182	False
全國電影票房截至2017年九月前資訊	38.pdf	2	30	天后開麥拉	2017-06-16	西班牙	17.0	22	4046	878270	False
全國電影票房2018年03/19-03/25統計資訊	79.pdf	5	68	花漾奶奶秀英文	2018-01-12	南韓	11.0	18	4196	878037	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	0	5	午睡公主~不為人知的故事~	2017-05-19	日本	25.0	28	4428	870586	False
全國電影票房截至2017年九月前資訊	38.pdf	2	25	塞尚與左拉	2017-06-09	法國	18.0	5	4224	858030	False
全國電影票房截至2017年二月前資訊	31.pdf	4	63	那年夏天你去了哪裏	2017-01-06	香港	9.0	20	3752	853608	False
全國電影票房截至2017年七月前資訊	36.pdf	7	83	到達蘭薩拉禮佛	2017-06-16	法國	8.0	7	3919	845991	False
全國電影票房2018年03/19-03/25統計資訊	79.pdf	7	84	阿姐響叮噹	2017-12-15	美國	15.0	22	4158	845390	False
全國電影票房截至2017年六月前資訊	35.pdf	15	99	羅曼蒂克消亡史	2017-05-19	中國大陸	8.0	7	3836	845087	False
全國電影票房2018年01/22-01/28統計資訊	68.pdf	4	34	魔法少女☆伊莉雅-雪下的誓言	2018-01-05	日本	4.0	6	3363	835979	False
全國電影票房截至2017年二月前資訊	31.pdf	2	34	愛情，突如其來	2016-12-16	日本	12.0	8	3873	833090	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	35	史達林死了沒？	2018-04-27	英國	4.0	8	3664	831891	True
全國電影票房2018年02/05-02/11統計資訊	70.pdf	3	36	她不知道那些鳥的名字	2018-01-19	日本	4.0	7	3649	826410	False
全國電影票房2018年03/26-04/01統計資訊	80.pdf	6	78	我要活下去	2018-01-05	美國	13.0	18	5179	824422	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	4	49	卡拉絲：為愛而聲	2018-04-03	法國	6.0	9	3813	820993	False
全國電影票房2018年02/19-02/25統計資訊	72.pdf	8	71	夢鹿情謎	2017-11-24	匈牙利	14.0	9	3813	814915	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	36	北之櫻守－媽媽的守護者	2018-04-27	日本	4.0	12	4038	813157	True
全國電影票房2018年04/02-04/08統計資訊	81.pdf	3	51	進擊的巨人劇場版覺醒的咆哮	2018-03-09	日本 	5.0	8	3423	806143	False
全國電影票房截至2017年三月前資訊	32.pdf	8	61	派特森	2017-02-03	美國	10.0	7	3759	800025	False
全國電影票房2018年01/22-01/28統計資訊	68.pdf	4	30	老獸	2018-01-08	中國大陸	3.0	10	3802	799195	False
全國電影票房2018年02/26-03/04統計資訊	76.pdf	6	52	騙徒	2017-12-22	南韓	11.0	16	3726	788600	False
全國電影票房截至2017年七月前資訊	36.pdf	7	84	惡女	2017-06-16	南韓	8.0	16	3601	780210	False
全國電影票房2018年01/08-01/14統計資訊	66.pdf	6	44	順雲	2017-11-10	中華民國	10.0	4	3838	775215	False
全國電影票房2018年04/02-04/08統計資訊	81.pdf	3	43	上岸的魚	2018-03-16	中華民國	4.0	17	3627	770902	False
全國電影票房截至2017年九月前資訊	38.pdf	10	95	真愛LINE著你	2017-08-25	德國	7.0	7	3591	759050	False
全國電影票房2018年01/29-02/04統計資訊	69.pdf	4	31	假如王子睡著了	2018-01-19	中國大陸	3.0	40	3258	758057	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	3	36	天使追殺令	2018-04-20	匈牙利	4.0	10	3470	756530	False
全國電影票房2018年01/01-01/07統計資訊	65.pdf	3	24	強尼・凱克	2017-12-15	中華民國	4.0	15	3435	755214	False
全國電影票房截至2017年八月前資訊	37.pdf	5	59	兒子的完美告別	2017-07-07	以色列	10.0	6	3521	749250	False
全國電影票房2018年01/08-01/14統計資訊	66.pdf	2	18	猜猜我是誰	2017-12-29	英屬維京群島	3.0	39	3271	739115	False
全國電影票房2018年03/12-03/18統計資訊	78.pdf	7	79	找藉口有限公司	2017-12-08	法國	15.0	12	3339	737548	False
全國電影票房2018年03/26-04/01統計資訊	80.pdf	7	87	姐姐妹妹殺起來	2017-12-08	美國	17.0	35	3569	727997	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	11	102	不願面對的真相2	2017-09-22	美國	7.0	25	3390	723385	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	7	64	星光美男劇場版榮耀之爭	2017-09-01	日本	10.0	7	1651	723274	False
全國電影票房2018年01/29-02/04統計資訊	69.pdf	6	50	希望在世界另一端	2017-12-29	芬蘭	6.0	7	3484	719340	False
全國電影票房截至2017年八月前資訊	37.pdf	2	28	玩命鎗火	2017-05-26	英國	16.0	21	3458	712480	False
全國電影票房截至2017年九月前資訊	38.pdf	9	89	晝顏電影版	2017-08-18	日本	8.0	10	3163	712294	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	11	103	白晝的流星	2017-09-22	日本	7.0	16	3108	703749	False
全國電影票房截至2017年七月前資訊	36.pdf	1	22	擬音	2017-04-14	中華民國	17.0	4	3171	702170	False
全國電影票房截至2017年四月前資訊	33.pdf	7	54	虐殺器官	2017-03-03	日本	10.0	7	2957	701274	False
全國電影票房截至2017年五月前資訊	34.pdf	9	70	私人採購	2017-04-14	法國	9.0	7	3224	701202	False
全國電影票房截至2017年一月前資訊	27.pdf	1	22	少女	2016-11-18	日本	12.0	13	3005	692766	False
全國電影票房2018年04/02-04/08統計資訊	81.pdf	7	98	失速夜狂奔	2017-11-24	美國 	20.0	8	3054	691793	False
全國電影票房2018年04/09-04/15統計資訊	82.pdf	7	81	看見台灣	2013-11-01	中華民國	232.0	3	2997	691500	False
全國電影票房截至2017年七月前資訊	36.pdf	5	51	墨利斯的情人經典數位修復	2017-05-26	美國	11.0	6	3265	691321	False
全國電影票房2017年11/27-12/03統計資訊	48.pdf	7	2	春宵苦短，少女前進吧！	2017-09-29	日本	10.0	6	2730	678416	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	2	24	愛上謊言的女人	2018-05-04	日本	3.0	10	2968	677913	True
全國電影票房2018年02/05-02/11統計資訊	70.pdf	1	22	愛，不由自主	2018-01-26	日本	3.0	12	2994	669845	False
全國電影票房截至2017年七月前資訊	36.pdf	4	47	夢想續航	2017-05-19	中華民國	12.0	13	3072	669574	False
全國電影票房截至2017年九月前資訊	38.pdf	1	17	愛在回家時	2017-05-26	美國	20.0	16	4212	663310	False
全國電影票房2017年12/25-12/31統計資訊	52.pdf	6	58	我們的愛情一言難盡	2017-11-03	美國	9.0	4	2960	660895	False
全國電影票房截至2017年五月前資訊	34.pdf	8	57	怪物彈珠電影版前往始源之地	2017-04-07	日本	10.0	6	2632	655529	False
全國電影票房截至2017年三月前資訊	32.pdf	3	35	藥命屍樂園	2017-01-13	加拿大	13.0	9	2894	653029	False
全國電影票房2018年01/01-01/07統計資訊	65.pdf	4	36	薙刀社青春日記	2017-12-08	日本	5.0	12	2865	652213	False
全國電影票房截至2017年二月前資訊	31.pdf	1	18	危險羅曼史	2016-12-02	南韓	14.0	33	3177	648953	False
全國電影票房2018年01/01-01/07統計資訊	65.pdf	7	57	顫慄柏林	2017-11-03	法國	10.0	9	2846	642855	False
全國電影票房截至2017年五月前資訊	34.pdf	15	104	昨日盛開的花朵	2017-04-28	德國	7.0	7	3141	639160	False
全國電影票房截至2017年七月前資訊	36.pdf	3	35	我發瘋的那段日子	2017-05-05	加拿大	14.0	12	2921	637829	False
全國電影票房2018年03/19-03/25統計資訊	79.pdf	8	89	3904英呎	2017-12-08	中華民國	16.0	18	2814	633306	False
全國電影票房2018年04/16-04/22統計資訊	83.pdf	3	47	羅曼律師	2018-02-23	美國	9.0	11	3105	631518	False
全國電影票房2018年02/19-02/25統計資訊	72.pdf	2	21	解凍屍篇	2018-02-02	南韓	4.0	8	2675	630415	False
全國電影票房截至2017年七月前資訊	36.pdf	6	63	祝你有個甜美的夢	2017-06-06	義大利	9.0	7	2997	613040	False
全國電影票房2018年02/26-03/04統計資訊	76.pdf	1	16	完美結局	2018-02-12	奧地利	3.0	6	2933	610254	False
全國電影票房2018年04/02-04/08統計資訊	81.pdf	3	50	火花	2018-03-09	日本 	5.0	9	2755	609500	False
全國電影票房2017年12/04-12/10統計資訊	49.pdf	6	54	聽見向陽之聲	2017-10-13	日本	9.0	1	2617	607610	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	9	87	美國天使：千禧年降臨（英國國家劇院現場）	2018-01-11	英國	19.0	4	904	607080	True
全國電影票房截至2017年六月前資訊	35.pdf	11	69	老炮兒	2017-05-05	中國大陸	10.0	7	2768	605095	False
全國電影票房截至2017年四月前資訊	33.pdf	9	78	最愛你的人是我	2017-03-17	英國	8.0	9	2679	599033	False
全國電影票房截至2017年九月前資訊	38.pdf	0	3	酷瓜人生	2017-02-10	南韓	35.0	11	2886	596625	False
全國電影票房截至2017年二月前資訊	31.pdf	3	60	西城童話	2017-01-06	中華民國	9.0	12	2759	592966	False
全國電影票房截至2017年六月前資訊	35.pdf	16	112	我就是要結婚！	2017-05-26	德國	7.0	7	2837	587285	False
全國電影票房截至2017年一月前資訊	27.pdf	2	51	嘿瑪嘿瑪	2016-12-02	英國	10.0	5	2559	581952	False
全國電影票房截至2017年五月前資訊	34.pdf	8	58	回憶的餘燼	2017-04-07	英國	10.0	7	2743	569385	False
全國電影票房截至2017年六月前資訊	35.pdf	6	51	金權性內幕	2017-04-21	南韓	12.0	8	2446	568887	False
全國電影票房截至2017年二月前資訊	31.pdf	6	88	一路逆風	2017-01-20	香港	7.0	3	1419	567600	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	6	66	對頭冤家	2018-03-02	美國	12.0	18	3367	564356	True
全國電影票房截至2017年三月前資訊	32.pdf	4	38	晚安媽咪	2017-01-13	奧地利	13.0	3	2624	564075	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	9	86	美國天使：重建（英國國家劇院現場）	2018-01-12	英國	19.0	4	838	559880	True
全國電影票房截至2017年二月前資訊	31.pdf	3	53	傷物語II熱血篇	2016-12-30	日本	10.0	3	2253	558547	False
全國電影票房2018年02/19-02/25統計資訊	72.pdf	2	23	百合心	2018-02-02	日本	4.0	11	2493	556998	False
全國電影票房2018年02/12-02/18統計資訊	71.pdf	2	26	嘉年華	2018-01-26	中國大陸	4.0	12	2531	552244	False
全國電影票房2017年12/04-12/10統計資訊	49.pdf	9	73	好想大聲說出心底的話	2017-08-18	日本	17.0	6	2297	541900	False
全國電影票房2018年04/23-04/29統計資訊	84.pdf	3	41	魔女席瑪	2018-04-04	挪威	4.0	13	2410	539236	False
全國電影票房截至2017年四月前資訊	33.pdf	11	105	傷物語III冷血篇	2017-03-31	日本	6.0	3	2135	533043	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	14	116	密弒逃脫	2017-09-29	美國	6.0	10	2367	524491	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	60	英勇勳章	2018-03-09	西班牙	11.0	9	2557	523960	True
全國電影票房2018年05/07-05/13統計資訊	86.pdf	3	38	齊木楠雄的災難	2018-04-20	日本	4.0	7	2147	519621	False
全國電影票房2018年02/05-02/11統計資訊	70.pdf	6	72	亂世傷痕~末代總督的秘密	2017-12-01	英國	11.0	9	2492	517558	False
全國電影票房截至2017年七月前資訊	36.pdf	6	71	八月	2017-06-09	中國大陸	9.0	7	2384	513180	False
全國電影票房2017年12/18-12/24統計資訊	51.pdf	4	37	踏響人生	2017-12-01	日本	4.0	18	2471	511687	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	8	75	3月的獅子前篇	2017-09-08	日本	9.0	11	2327	507885	False
全國電影票房2017年12/18-12/24統計資訊	51.pdf	4	40	真實遊戲	2017-12-01	法國	4.0	6	2206	503824	False
全國電影票房2018年01/01-01/07統計資訊	65.pdf	2	23	馬克思：時代青年	2017-12-15	德國	4.0	5	2398	503590	False
全國電影票房截至2017年六月前資訊	35.pdf	3	30	亞美尼亞大地震	2017-03-17	俄羅斯	17.0	13	2307	503160	False
全國電影票房截至2017年一月前資訊	27.pdf	1	37	明日進行曲	2016-11-25	法國	11.0	7	2390	502085	False
全國電影票房截至2017年四月前資訊	33.pdf	10	89	戰地情	2017-03-20	美國	7.0	21	2357	501357	False
全國電影票房截至2017年七月前資訊	36.pdf	4	36	他們的美好時光	2017-05-05	英國	14.0	10	2355	486865	False
全國電影票房2018年02/12-02/18統計資訊	71.pdf	3	38	沉默的目擊者	2018-01-19	南韓	5.0	11	2206	482705	False
全國電影票房截至2017年一月前資訊	27.pdf	2	38	沖天火	2016-11-25	香港	11.0	21	2298	478755	False
全國電影票房2018年04/23-04/29統計資訊	84.pdf	2	22	最後相愛的日子	2018-04-13	美國	3.0	4	2273	478449	False
全國電影票房2018年02/26-03/04統計資訊	76.pdf	1	20	享受吧！尋味義大利	2018-02-09	英國	4.0	7	2369	475709	False
全國電影票房2018年01/22-01/28統計資訊	68.pdf	4	36	維京傳說：寒冰交鋒	2018-01-05	俄羅斯	4.0	13	2171	473103	False
全國電影票房截至2017年二月前資訊	31.pdf	2	33	記憶乍響	2016-12-16	法國	12.0	5	2178	469500	False
全國電影票房截至2017年九月前資訊	38.pdf	4	46	29+1	2017-07-07	香港	14.0	7	2179	467995	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	34	北韓搖滾解放日	2018-04-27	英國	4.0	6	2076	461507	True
全國電影票房2018年03/26-04/01統計資訊	80.pdf	2	32	繆屍	2018-03-09	西班牙	4.0	18	1999	460898	False
全國電影票房截至2017年七月前資訊	36.pdf	8	94	波希失樂園	2017-06-23	西班牙	7.0	3	2216	457130	False
全國電影票房截至2017年一月前資訊	27.pdf	0	9	只要我長大	2016-11-11	中華民國	13.0	10	2082	456207	False
全國電影票房2018年04/02-04/08統計資訊	81.pdf	2	39	烈愛天堂	2018-03-16	德國 	4.0	9	2168	453900	False
全國電影票房2018年01/01-01/07統計資訊	65.pdf	3	29	奇光下的秘密	2017-12-15	美國	4.0	14	2089	450669	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	8	87	誰怕吳爾芙？（英國國家劇院現場）	2018-01-10	英國	18.0	5	679	448000	False
全國電影票房2017年12/25-12/31統計資訊	52.pdf	2	32	尋找約翰柯川	2017-12-08	美國	4.0	9	1937	445427	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	7	家戰	2018-05-11	法國	2.0	9	2064	445125	True
全國電影票房2018年01/01-01/07統計資訊	65.pdf	6	52	死者的審判	2017-11-10	南韓	9.0	9	2019	442730	False
全國電影票房截至2017年九月前資訊	38.pdf	0	2	鋼琴教師	2016-12-16	法國	43.0	7	2084	436100	False
全國電影票房截至2017年五月前資訊	34.pdf	11	82	戀愛完成式	2017-04-21	泰國	8.0	8	1912	434979	False
全國電影票房截至2017年三月前資訊	32.pdf	9	73	英倫情人	2017-02-17	美國	8.0	8	2113	433600	False
全國電影票房2018年01/08-01/14統計資訊	66.pdf	4	35	麵包超人電影版：布魯布魯的尋寶大冒險	2017-12-08	日本	6.0	8	1959	427770	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	10	93	3月的獅子後篇	2017-09-15	日本	8.0	11	1909	422623	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	2	25	慾亂唇迷	2017-07-21	加拿大	16.0	5	1913	422255	False
全國電影票房2018年02/12-02/18統計資訊	71.pdf	2	21	《畢業旅行笑翻天》	2018-02-02	中華民國	3.0	10	1869	419976	False
全國電影票房截至2017年七月前資訊	36.pdf	8	95	寶拉：裸畫像	2017-06-23	德國	7.0	3	2100	416785	False
全國電影票房2017年11/06-11/12統計資訊	45.pdf	2	12	巴哈旺大飯店	2017-10-13	印度	5.0	1	2024	416418	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	61	宅配男逃亡曲	2018-03-09	南韓	11.0	11	1909	412273	True
全國電影票房2018年01/08-01/14統計資訊	66.pdf	3	27	屍蹤7號房	2017-12-22	南韓	4.0	8	1870	406180	False
全國電影票房2018年03/05-03/11統計資訊	77.pdf	2	23	變身冤家	2018-02-14	義大利	4.0	6	1894	404935	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	7	69	英雄本色2018	2018-02-28	中國大陸	12.0	9	1600	403895	True
全國電影票房截至2017年九月前資訊	38.pdf	5	60	時尚僧侶新視界	2017-07-21	美國	12.0	6	1854	399980	False
全國電影票房2018年02/12-02/18統計資訊	71.pdf	3	37	尊瑪尊瑪：我和她們在喜馬拉雅山的夏天	2018-01-19	中華民國	5.0	5	1754	395095	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	8	85	沉淪（英國國家劇院現場）	2018-01-10	英國	18.0	5	612	394580	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	6	53	辣媽好孕到	2017-08-25	法國	11.0	12	2031	393401	False
全國電影票房截至2016年十二月前資訊	26.pdf	0	7	追殺厄夜叢林	2016-11-04	美國	10.0	10	1761	389998	False
全國電影票房截至2017年一月前資訊	27.pdf	1	34	櫥窗人生	2016-11-25	中華民國	11.0	11	1825	388800	False
全國電影票房截至2017年二月前資訊	31.pdf	4	61	咖啡與菸	2017-01-06	美國	9.0	3	1788	386255	False
全國電影票房截至2017年一月前資訊	27.pdf	0	21	神戲	2016-11-18	中華民國	12.0	5	1656	385732	False
全國電影票房截至2017年五月前資訊	34.pdf	8	59	犯罪教條	2017-04-07	英國	10.0	14	1717	384715	False
全國電影票房截至2017年一月前資訊	27.pdf	2	49	漫長的藉口	2016-12-02	日本	10.0	5	1832	378805	False
全國電影票房截至2017年七月前資訊	36.pdf	5	60	我的觸男日記	2017-06-02	德國	10.0	7	1697	378317	False
全國電影票房截至2017年七月前資訊	36.pdf	7	85	【第五元素】數位修復導演版	2017-06-16	法國	8.0	12	1657	376789	False
全國電影票房截至2017年九月前資訊	38.pdf	10	96	魔鬼終結者:創世契機	2017-08-25	美國	7.0	6	1344	376654	False
全國電影票房截至2017年四月前資訊	33.pdf	10	92	尋找天堂的3個人	2017-03-24	德國	7.0	5	1866	375625	False
全國電影票房截至2017年六月前資訊	35.pdf	13	86	幸福不設限	2017-05-12	美國	9.0	6	1748	374135	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	8	86	君臣人子小命嗚呼（英國國家劇院現場）	2018-01-10	英國	18.0	5	571	369480	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	10	94	倫敦呼叫	2017-09-15	美國	8.0	7	1613	366315	False
全國電影票房2018年02/12-02/18統計資訊	71.pdf	5	58	今生情未了	2017-12-15	法國	10.0	5	1795	365025	False
全國電影票房截至2017年三月前資訊	32.pdf	3	28	一級危險	2017-01-06	美國	14.0	6	1584	363982	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	8	76	失樂園	2017-09-08	日本	9.0	5	1735	363625	False
全國電影票房2018年05/07-05/13統計資訊	86.pdf	4	55	極限登峰	2018-03-16	法國	9.0	6	1832	359527	False
全國電影票房截至2017年五月前資訊	34.pdf	14	95	約翰伯格四季肖像	2017-04-24	英國	7.0	2	1632	355250	False
全國電影票房截至2017年三月前資訊	32.pdf	0	9	終極車陣：飆出重圍	2016-12-09	加拿大	18.0	11	2296	354883	False
全國電影票房2018年03/19-03/25統計資訊	79.pdf	2	36	每，一天	2018-03-02	美國	4.0	12	1541	354320	False
全國電影票房2017年12/04-12/10統計資訊	49.pdf	3	31	尋找費里尼	2017-11-17	美國	4.0	6	1696	350750	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	0	8	原罪犯	2018-05-11	南韓	2.0	8	1559	349631	True
全國電影票房2017年11/13-11/19統計資訊	46.pdf	1	8	追憶	2017-11-03	日本	3.0	6	1532	349372	False
全國電影票房截至2017年六月前資訊	35.pdf	6	47	小鎮醫生	2017-04-14	法國	13.0	5	1791	349350	False
全國電影票房截至2017年七月前資訊	36.pdf	7	72	超越佛朗明哥：索拉的霍塔舞曲	2017-06-09	西班牙	9.0	6	1690	345430	False
全國電影票房2018年04/02-04/08統計資訊	81.pdf	6	86	星際叛將：歐西里斯之子	2018-01-05	澳洲 	14.0	14	1722	345354	False
全國電影票房截至2017年一月前資訊	27.pdf	0	1	獻給米其林的生命貴客	2016-11-04	美國	14.0	6	1610	344520	False
全國電影票房截至2017年二月前資訊	31.pdf	2	32	綠洲超音速	2016-12-16	英國	12.0	6	1544	344404	False
全國電影票房截至2017年五月前資訊	34.pdf	11	83	生存家族	2017-04-21	日本	8.0	7	1592	339951	False
全國電影票房2017年12/25-12/31統計資訊	52.pdf	2	31	刺青舞者	2017-12-08	英國	4.0	5	1541	337780	False
全國電影票房2018年04/16-04/22統計資訊	83.pdf	2	33	小活佛	2018-03-30	法國	4.0	6	1643	336355	False
全國電影票房截至2017年三月前資訊	32.pdf	4	48	牛奶配送員的魔幻人生	2017-01-20	塞爾維亞	12.0	6	1561	333525	False
全國電影票房2018年02/26-03/04統計資訊	76.pdf	2	29	記憶中的美好歌聲	2018-02-02	南韓	5.0	9	1491	333440	False
"全國電影票房截至2017年十月前資訊	"	39.pdf	11	104	凱特布蘭琪：宣言13	2017-09-22	德國	7.0	7	1511	333315	False
全國電影票房截至2016年十二月前資訊	26.pdf	0	10	童夢	2016-11-04	中華民國	10.0	7	1667	331740	False
全國電影票房2018年03/12-03/18統計資訊	78.pdf	6	68	逆境棋蹟	2018-01-05	西班牙	11.0	7	1568	331206	False
全國電影票房2018年01/29-02/04統計資訊	69.pdf	5	39	冰海異種	2018-01-12	法國	4.0	13	1547	329825	False
全國電影票房2017年11/20-11/26統計資訊	47.pdf	3	4	追緝聶魯達	2017-11-03	智利	4.0	7	1560	329170	False
全國電影票房2018年03/12-03/18統計資訊	78.pdf	3	39	嚕嚕米冬日樂園	2018-02-14	美國	5.0	10	1574	326790	False
全國電影票房2018年04/23-04/29統計資訊	84.pdf	9	87	不思議女人	2017-11-24	法國	23.0	6	1517	321366	False
全國電影票房截至2017年七月前資訊	36.pdf	1	20	叛獄無間	2017-04-07	南韓	18.0	9	1486	317270	False
全國電影票房截至2017年五月前資訊	34.pdf	8	60	溺水小刀	2017-04-07	日本	10.0	8	1437	316830	False
全國電影票房2018年02/12-02/18統計資訊	71.pdf	1	16	黎明的承諾	2018-02-02	法國	3.0	6	1511	316662	False
全國電影票房2017年11/06-11/12統計資訊	45.pdf	2	3	何日君再來	2017-10-20	日本	4.0	1	1551	312615	False
全國電影票房2018年04/30-05/06統計資訊	85.pdf	2	32	春光之境	2018-04-13	英國	4.0	7	1422	309975	False
全國電影票房2018年05/14-05/20統計資訊	131.pdf	2	27	假掰英雄	2018-05-04	法國	3.0	8	1464	306820	True
"全國電影票房截至2017年十月前資訊	"	39.pdf	11	105	親愛的大笨象	2017-09-22	新加坡	7.0	7	1484	304765	False
全國電影票房2018年02/05-02/11統計資訊	70.pdf	7	73	攔截異種	2017-12-01	英國	11.0	12	1495	303220	False
全國電影票房2018年03/19-03/25統計資訊	79.pdf	1	22	我心渴望的陽光	2018-03-09	法國	3.0	8	1457	301120	False
全國電影票房2018年01/15-01/21統計資訊	67.pdf	10	81	少女車神	2017-09-15	義大利	19.0	6	1337	299569	False
